shipment_mass_release,shipment_status,shipment_pro,shipment_equipment_type_code,shipment_customer_ref_num,shipment_load_description,revenue_type_rev_type,customer name,carrier name,shipment_customer_total_rates,shipment_carrier_total_rates,shipment_gross_profit,shipment_net_margin,pick_stop_1_name,pickup,pick_stop_last_name,consignee,sales rep name,dispatcher assgn name,shipment_created_at,shipment_miles_truck,shipment_miles_customer,pick_stop_1_ready_or_deliver_date,pick_stop_1_location_zip,pick_stop_last_location_zip
true,RELEASED,12653,FTL,4502603381,POD RCVD - TOTES,B,"DANISCO US, INC.",CRICKET ENTERPRISES LLC,850.0,800.0,50.0,0.0588,IFF - GENECOR,"BELOIT, WI",MRS - WORLEY WAREHOUSING,"CEDAR RAPIDS, IA",RYNE BANDOLIK,arciev1,2026-02-05 10:05:00 UTC,160,162,02/09/26,53511,52404
true,RELEASED,12654,R,4502603385,POD RCVD - TOTES,B,"DANISCO US, INC.",ELGON LOGISTICS LLC,850.0,800.0,50.0,0.0588,IFF - GENECOR,"BELOIT, WI",MRS - WORLEY WAREHOUSING,"CEDAR RAPIDS, IA",RYNE BANDOLIK,arciev1,2026-02-05 10:05:00 UTC,160,162,02/09/26,53511,52404
false,RELEASED,12655,STRA,FR-108754-1,POD RCVD - FAK,B,THE ROYAL GROUP,NO WAIT FREIGHT INC,1050.0,700.0,350.0,0.3333,THE ROYAL GROUP,"CICERO, IL",AEROFIL TECHNOLOGY,"BOURBON, MO",RYNE BANDOLIK,,2026-02-05 10:40:00 UTC,361,362,02/05/26,60804,65441
false,RELEASED,12656,FTL,FR-108754-2,POD RCVD - FAK,B,THE ROYAL GROUP,IC TRANSPORT LLC,1650.0,1200.0,450.0,0.2727,THE ROYAL GROUP,"CICERO, IL",ECONO-PAK C/O KING ARTHUR BAKI,"MILFORD, PA",RYNE BANDOLIK,,2026-02-05 05:45:00 UTC,742,759,02/05/26,60804,18337
false,RELEASED,12657,FTL,201701277,POD RCVD - FAK,B,BATORY FOODS,FROM POINT TO POINT INC,1030.04,650.0,380.04,0.369,J RETTENMAIER USA,"SCHOOLCRAFT, MI",BATORY FOODS WILMINGTON,"WILMINGTON, IL",RYNE BANDOLIK,,2026-02-05 11:55:00 UTC,168,175,02/11/26,49087,60481
false,RELEASED,12658,FTL,201752350,PALLETS,B,BATORY FOODS,BEE LOGISTICS INC,751.0,500.0,251.0,0.3342,BATORY FOODS WILMINGTON,"WILMINGTON, IL","CROWN BAKERIES, PLEASANT PRAIR","PLEASANT PRAIRIE, WI",RYNE BANDOLIK,arciev1,2026-02-05 20:38:40 UTC,104,104,02/06/26,60481,53158
true,RELEASED,12659,V,679829,POD RCVD - SALT,B,XYNYTH MANUFACTURING CORP.,SINGH WAYS TRUCKLINES LTD,2053.0,1953.0,100.0,0.0487,PARTNER INDUSTRIES,"DAVIDSON, SK",NEILL CARTAGE,"BERKELEY, IL",BRANDON KING,,2026-02-05 02:43:00 UTC,1233,1233,02/09/26,,60163
true,RELEASED,12660,V,R46606,POD SCLE RCVD,B,AG POLYMERS,DS WES TRANSPORTATION INC,600.0,600.0,0.0,0.0,LOGOPLASTE Van Dyke,"PLAINFIELD, IL",CU PLASTICS,"ROCHELLE, IL",PERLA LOPEZ,,2026-02-06 01:36:21 UTC,62,62,02/06/26,60544,61068
true,RELEASED,12661,V,R46534,POD SCL RCVD - FAK,B,AG POLYMERS,KOLEV ENTERPRISE INC,445.0,400.0,45.0,0.1011,LOGOPLASTE VAN DYKE,"PLAINFIELD, IL",CU PLASTICS,"ROCHELLE, IL",PERLA LOPEZ,,2026-02-06 04:26:04 UTC,62,62,02/06/26,60544,61068
false,RELEASED,12662,FTL,200522113,POD RCVD - FAK,I,BATORY FOODS,IVAN CARTAGE CO,648.24,0.0,648.24,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",DENALI-LIDNER,"WAUKESHA, WI",IVAN CARTAGE CO,arciev1,2026-02-06 12:35:54 UTC,109,109,02/04/26,60609,53186
false,RELEASED,12663,TL,201090286,POD RCVD - PALLET,I,BATORY FOODS,IVAN CARTAGE CO,648.24,0.0,648.24,1.0,BATORY'S OAKLEY CHICAGO,"CHICAGO, IL",DENALI-CALHOUN,"NEW BERLIN, WI",IVAN CARTAGE CO,arciev1,2026-02-06 12:43:30 UTC,101,101,02/03/26,60609,53151
false,RELEASED,12664,FTL,201392807,POD RCVD - FAK,I,BATORY FOODS,IVAN CARTAGE CO,628.18,0.0,628.18,1.0,BATORY ELK GROVE,"ELK GROVE VILLAGE, IL",NOVOZYMES BIOAG INC,"MILWAUKEE, WI",IVAN CARTAGE CO,arciev1,2026-02-06 12:49:41 UTC,95,95,02/05/26,60007,53218
false,RELEASED,12665,FTL,201541168,POD RCVD - PALLETS,I,BATORY FOODS,IVAN CARTAGE CO,849.52,0.0,849.52,1.0,BATORY FOODS WILMINGTON,"WILMINGTON, IL",JENEIL BIOTECH INC.,"SAUKVILLE, WI",IVAN CARTAGE CO,arciev1,2026-02-06 12:56:11 UTC,162,162,02/04/26,60481,53080
false,RELEASED,12666,FTL,495-PZ5DTONU,TONU,I,FLOCK FREIGHT,IVAN CARTAGE CO,150.0,0.0,150.0,1.0,Lamplights Farms,"MILWAUKEE, WI",4C logistics,"PLANO, IL",IVAN CARTAGE CO,,2026-02-06 13:06:57 UTC,143,143,02/06/26,53223,60545-9706
